date,annee,mois,trimestre,mois_label,produit,categorie,type_chimique,fournisseur,quantite_kg,prix_litre_eur,cout_total_eur,ph,ph_neutre,cov_g_par_l,charge_cov_g,dbo5_mg_par_l,biodegradabilite_pct,lc50_daphnie_mg_par_l,dose_utilisation_ml_par_l,score_env,segment_risque,ratio_cout_score,est_eco,ecolabel_eu,conforme_reach,nordic_swan
2021-01-01,2021,1,1,2021-01,Dégraissant solvant chloré,dégraissant,solvant,ChemPro,113.5,16.16,1834.16,6.5,True,115.16,13070.66,300.3,32.6,10.0,20.1,3.35,Risque élevé,4.824,False,False,False,False
2021-01-01,2021,1,1,2021-01,Dégraissant solvant chloré,dégraissant,solvant,IndustraNett,141.0,18.56,2616.96,8.7,False,130.27,18368.07,483.8,46.3,10.2,73.2,3.19,Risque élevé,5.818,False,False,False,False
2021-01-01,2021,1,1,2021-01,Mousse écologique certifiée,nettoyant multi,biosourcé,IndustraNett,154.9,9.02,1397.2,8.0,True,0.55,85.2,831.3,81.4,286.3,25.9,7.84,Faible risque,1.151,True,True,True,True
2021-01-01,2021,1,1,2021-01,Cire sol industrielle,entretien sol,solvant,ChemPro,471.7,35.86,16915.16,6.9,True,97.13,45816.22,337.9,40.7,12.1,32.8,3.97,Risque élevé,9.033,False,False,True,False
2021-01-01,2021,1,1,2021-01,Dégraissant solvant chloré,dégraissant,solvant,VerteChimie,258.6,33.27,8603.62,5.8,False,120.63,31194.92,383.5,23.0,9.6,11.4,2.77,Risque élevé,12.011,False,False,True,False
2021-01-01,2021,1,1,2021-01,Nettoyant inox écologique,nettoyant inox,biosourcé,IndustraNett,52.1,7.73,402.73,7.7,True,0.32,16.67,798.1,83.0,356.1,16.5,8.41,Faible risque,0.919,True,False,True,True
2021-01-01,2021,1,1,2021-01,Emulsion sol biosourcée,entretien sol,biosourcé,ChemPro,59.7,49.21,2937.84,7.8,True,0.35,20.9,718.4,98.6,101.8,70.1,7.32,Risque modéré,6.723,True,True,True,False
2021-02-01,2021,2,1,2021-02,Nettoyant acide biosourcé,détartrant,biosourcé,VerteChimie,469.6,23.36,10969.86,8.1,True,0.43,201.93,882.5,85.7,388.6,48.6,8.56,Faible risque,2.729,True,False,True,True
2021-02-01,2021,2,1,2021-02,Antirouille process,traitement surface,acide,ChemPro,331.8,9.87,3274.87,3.5,False,3.95,1310.61,124.5,39.8,61.5,23.1,4.43,Risque élevé,2.228,False,False,True,False
2021-02-01,2021,2,1,2021-02,Décapant sol enzymatique,décapant,enzymatique,ChemPro,72.6,42.04,3052.1,7.3,True,0.53,38.48,587.8,83.9,447.1,58.1,9.1,Faible risque,4.62,True,True,True,True
2021-02-01,2021,2,1,2021-02,Mousse nettoyante toutes surfaces,nettoyant multi,tensioactif,ChemPro,126.5,12.34,1561.01,5.4,False,6.32,799.48,444.8,44.5,85.2,17.8,5.27,Risque modéré,2.342,False,False,True,False
2021-02-01,2021,2,1,2021-02,Nettoyant HP vert dilution forte,nettoyant HP,biosourcé,VerteChimie,396.4,21.1,8364.04,7.7,True,0.37,146.67,797.6,90.0,453.0,26.7,9.2,Faible risque,2.293,True,False,True,False
2021-02-01,2021,2,1,2021-02,Nettoyant inox écologique,nettoyant inox,biosourcé,EcoClean,293.2,61.26,17961.43,7.4,True,0.38,111.42,646.9,76.6,240.6,78.5,7.61,Faible risque,8.05,True,False,True,False
2021-02-01,2021,2,1,2021-02,Désinfectant quaternaire QAC-50,désinfectant,ammonium quaternaire,IndustraNett,322.4,19.88,6409.31,7.5,True,21.9,7060.56,290.3,41.9,18.0,44.1,4.92,Risque élevé,4.041,False,False,True,False
2021-02-01,2021,2,1,2021-02,Nettoyant HP vert dilution forte,nettoyant HP,biosourcé,ChemPro,443.6,22.26,9874.54,7.2,True,0.5,221.8,835.5,76.6,342.6,58.5,8.29,Faible risque,2.685,True,True,True,True
2021-02-01,2021,2,1,2021-02,Emulsion sol biosourcée,entretien sol,biosourcé,ProHygiène,14.1,53.18,749.84,7.8,True,0.53,7.47,849.2,78.3,194.8,22.1,7.26,Risque modéré,7.325,True,True,True,True
2021-02-01,2021,2,1,2021-02,Désodorisant industriel masquant,désodorisant,synthétique,VerteChimie,41.0,27.48,1126.68,9.8,False,8.1,332.1,384.4,42.1,49.7,11.0,4.59,Risque élevé,5.987,False,False,True,False
2021-03-01,2021,3,1,2021-03,Nettoyant acide détartrant,détartrant,acide,ProHygiène,490.7,15.58,7645.11,3.1,False,6.69,3282.78,132.9,46.0,103.5,33.3,4.71,Risque élevé,3.308,False,False,True,False
2021-03-01,2021,3,1,2021-03,Décapant sol industriel,décapant,solvant,VerteChimie,339.8,29.33,9966.33,8.9,False,100.38,34109.12,221.9,60.2,13.1,49.0,3.96,Risque élevé,7.407,False,False,False,False
2021-04-01,2021,4,2,2021-04,Nettoyant inox écologique,nettoyant inox,biosourcé,ProHygiène,50.3,16.85,847.56,7.9,True,0.65,32.7,1027.3,94.6,331.5,14.0,8.54,Faible risque,1.973,True,False,True,True
2021-04-01,2021,4,2,2021-04,Emulsion sol biosourcée,entretien sol,biosourcé,ChemPro,219.8,15.99,3514.6,7.9,True,0.75,164.85,641.2,98.6,446.3,60.2,9.35,Faible risque,1.71,True,True,True,True
2021-04-01,2021,4,2,2021-04,Nettoyant inox écologique,nettoyant inox,biosourcé,ProHygiène,232.0,20.97,4865.04,7.2,True,0.47,109.04,806.6,84.3,350.4,49.2,8.56,Faible risque,2.45,True,False,True,False
2021-04-01,2021,4,2,2021-04,Antirouille process,traitement surface,acide,IndustraNett,393.7,42.64,16787.37,2.3,False,4.97,1956.69,163.5,36.8,64.2,6.4,3.98,Risque élevé,10.714,False,False,True,False
2021-04-01,2021,4,2,2021-04,Antirouille process,traitement surface,acide,ChemPro,165.2,37.01,6114.05,3.1,False,6.71,1108.49,95.6,20.3,99.7,33.1,3.92,Risque élevé,9.441,False,False,True,False
2021-04-01,2021,4,2,2021-04,Désinfectant quaternaire QAC-50,désinfectant,ammonium quaternaire,IndustraNett,183.4,6.99,1281.97,9.0,False,12.83,2353.02,234.5,44.6,27.6,13.0,4.72,Risque élevé,1.481,False,False,True,False
2021-04-01,2021,4,2,2021-04,Désinfectant quaternaire QAC-50,désinfectant,ammonium quaternaire,ChemPro,114.7,44.05,5052.54,8.1,True,13.82,1585.15,230.4,26.0,17.2,69.4,4.36,Risque élevé,10.103,False,False,True,False
2021-04-01,2021,4,2,2021-04,Antirouille process,traitement surface,acide,ProHygiène,319.1,17.66,5635.31,2.0,False,7.84,2501.74,116.9,24.2,58.9,16.6,3.44,Risque élevé,5.134,False,False,True,False
2021-04-01,2021,4,2,2021-04,Désinfectant peroxyde EcoPur,désinfectant,peroxyde,ChemPro,137.7,15.91,2190.81,7.9,True,0.39,53.7,780.6,80.2,612.1,45.1,9.12,Faible risque,1.745,True,False,True,True
2021-04-01,2021,4,2,2021-04,Désodorisant industriel masquant,désodorisant,synthétique,EcoClean,201.5,17.4,3506.1,8.1,True,7.99,1609.98,268.9,45.2,59.0,56.8,5.26,Risque modéré,3.308,False,False,True,False
2021-04-01,2021,4,2,2021-04,Désodorisant industriel masquant,désodorisant,synthétique,EcoClean,18.1,25.42,460.1,7.3,True,6.9,124.89,426.8,22.2,80.0,52.7,4.96,Risque élevé,5.125,False,False,True,False
2021-04-01,2021,4,2,2021-04,Décapant sol industriel,décapant,solvant,ProHygiène,237.4,14.93,3544.38,9.7,False,141.65,33627.71,489.5,57.1,6.2,7.0,3.03,Risque élevé,4.927,False,False,False,False
2021-04-01,2021,4,2,2021-04,Emulsion sol biosourcée,entretien sol,biosourcé,VerteChimie,47.1,20.14,948.59,7.2,True,0.4,18.84,893.4,75.6,334.7,40.0,8.21,Faible risque,2.453,True,False,True,True
2021-05-01,2021,5,2,2021-05,Désodorisant industriel masquant,désodorisant,synthétique,VerteChimie,362.6,30.93,11215.22,7.4,True,8.63,3129.24,354.1,39.5,111.2,72.7,5.61,Risque modéré,5.513,False,False,True,False
2021-05-01,2021,5,2,2021-05,Mousse écologique certifiée,nettoyant multi,biosourcé,VerteChimie,412.5,29.09,11999.62,7.2,True,0.58,239.25,490.6,78.5,602.7,67.5,9.29,Faible risque,3.131,True,True,True,True
2021-05-01,2021,5,2,2021-05,Décapant sol industriel,décapant,solvant,ProHygiène,383.9,4.43,1700.68,9.1,False,133.32,51181.55,304.3,40.8,10.9,42.2,2.87,Risque élevé,1.544,False,False,False,False
2021-05-01,2021,5,2,2021-05,Cire sol industrielle,entretien sol,solvant,EcoClean,448.4,44.17,19805.83,7.5,True,104.47,46844.35,359.3,39.8,8.7,74.8,3.7,Risque élevé,11.938,False,False,False,False
2021-05-01,2021,5,2,2021-05,Antirouille process,traitement surface,acide,IndustraNett,369.4,40.32,14894.21,2.5,False,11.97,4421.72,129.0,60.6,63.0,42.1,4.65,Risque élevé,8.671,False,False,True,False
2021-05-01,2021,5,2,2021-05,Mousse nettoyante toutes surfaces,nettoyant multi,tensioactif,VerteChimie,392.0,42.62,16707.04,9.4,False,7.17,2810.64,307.4,32.5,89.2,16.3,4.68,Risque élevé,9.107,False,False,True,False
2021-05-01,2021,5,2,2021-05,Cire sol industrielle,entretien sol,solvant,ChemPro,212.3,41.63,8838.05,7.6,True,145.74,30940.6,292.0,46.8,8.0,27.0,3.32,Risque élevé,12.539,False,False,False,False
2021-05-01,2021,5,2,2021-05,Mousse écologique certifiée,nettoyant multi,biosourcé,VerteChimie,399.2,38.74,15465.01,7.5,True,0.51,203.59,838.9,97.9,359.4,70.5,8.93,Faible risque,4.338,True,True,True,False
2021-06-01,2021,6,2,2021-06,Dégraissant solvant chloré,dégraissant,solvant,ChemPro,30.7,7.78,238.85,5.2,False,121.13,3718.69,414.4,62.8,9.3,54.3,3.77,Risque élevé,2.064,False,False,True,False
2021-06-01,2021,6,2,2021-06,Désodorisant enzymatique,désodorisant,enzymatique,ProHygiène,440.2,48.0,21129.6,8.5,True,0.66,290.53,775.0,93.6,557.0,63.4,9.34,Faible risque,5.139,True,False,True,False
2021-06-01,2021,6,2,2021-06,Désinfectant peroxyde EcoPur,désinfectant,peroxyde,ProHygiène,79.1,51.5,4073.65,6.9,True,0.36,28.48,938.2,96.6,469.6,30.9,9.68,Faible risque,5.32,True,True,True,True
2021-06-01,2021,6,2,2021-06,Décapant sol industriel,décapant,solvant,ProHygiène,467.2,26.76,12502.27,6.4,False,146.45,68421.44,277.4,49.1,7.5,30.3,3.38,Risque élevé,7.917,False,False,False,False
2021-06-01,2021,6,2,2021-06,Désinfectant quaternaire QAC-50,désinfectant,ammonium quaternaire,VerteChimie,24.9,43.76,1089.62,9.7,False,7.59,188.99,171.7,59.4,31.7,11.7,5.04,Risque modéré,8.683,False,False,True,False
2021-06-01,2021,6,2,2021-06,Mousse écologique certifiée,nettoyant multi,biosourcé,IndustraNett,154.9,52.87,8189.56,8.3,True,0.41,63.51,894.6,88.1,639.0,54.7,9.24,Faible risque,5.722,True,True,True,False
2021-06-01,2021,6,2,2021-06,Décapant sol industriel,décapant,solvant,ChemPro,317.6,11.16,3544.42,8.8,False,118.83,37740.41,365.6,50.6,11.6,70.0,3.45,Risque élevé,3.235,False,False,False,False
2021-07-01,2021,7,3,2021-07,Nettoyant acide détartrant,détartrant,acide,ChemPro,139.7,7.69,1074.29,2.5,False,7.15,998.86,84.4,34.6,74.5,70.9,4.01,Risque élevé,1.918,False,False,True,False
2021-07-01,2021,7,3,2021-07,Nettoyant acide détartrant,détartrant,acide,EcoClean,155.0,34.03,5274.65,2.3,False,6.54,1013.7,95.4,20.1,96.3,20.0,3.65,Risque élevé,9.323,False,False,True,False
2021-07-01,2021,7,3,2021-07,Nettoyant acide biosourcé,détartrant,biosourcé,ProHygiène,39.4,6.5,256.1,7.6,True,0.37,14.58,1105.8,82.1,426.3,15.6,8.83,Faible risque,0.736,True,True,True,True
2021-07-01,2021,7,3,2021-07,Décapant sol enzymatique,décapant,enzymatique,IndustraNett,351.3,59.95,21060.44,8.0,True,0.51,179.16,680.2,84.9,241.5,65.2,7.68,Faible risque,7.806,True,False,True,True
2021-07-01,2021,7,3,2021-07,Nettoyant inox écologique,nettoyant inox,biosourcé,IndustraNett,48.1,6.45,310.24,7.2,True,0.47,22.61,895.3,83.1,514.0,61.3,9.43,Faible risque,0.684,True,False,True,False
2021-07-01,2021,7,3,2021-07,Dégraissant solvant chloré,dégraissant,solvant,VerteChimie,177.0,25.27,4472.79,7.3,True,170.18,30121.86,379.3,45.3,5.6,6.7,3.3,Risque élevé,7.658,False,False,False,False
2021-08-01,2021,8,3,2021-08,Nettoyant HP vert dilution forte,nettoyant HP,biosourcé,IndustraNett,13.3,52.51,698.38,7.5,True,0.49,6.52,663.8,80.3,544.0,67.6,9.25,Faible risque,5.677,True,True,True,False
2021-08-01,2021,8,3,2021-08,Antirouille process,traitement surface,acide,EcoClean,228.8,14.17,3242.1,3.3,False,8.26,1889.89,114.6,53.7,98.3,20.3,4.95,Risque élevé,2.863,False,False,True,False
2021-08-01,2021,8,3,2021-08,Antirouille process,traitement surface,acide,EcoClean,421.7,31.28,13190.78,1.7,False,5.94,2504.9,86.1,34.0,109.1,34.0,3.96,Risque élevé,7.899,False,False,True,False
2021-08-01,2021,8,3,2021-08,Dégraissant solvant chloré,dégraissant,solvant,ChemPro,218.0,4.97,1083.46,5.3,False,121.62,26513.16,282.3,40.7,9.0,62.9,3.13,Risque élevé,1.588,False,False,True,False
2021-08-01,2021,8,3,2021-08,Mousse écologique certifiée,nettoyant multi,biosourcé,ChemPro,210.3,62.87,13221.56,6.6,True,0.49,103.05,854.1,87.1,455.0,28.5,9.21,Faible risque,6.826,True,True,True,False
2021-08-01,2021,8,3,2021-08,Désinfectant quaternaire QAC-50,désinfectant,ammonium quaternaire,ProHygiène,111.4,27.51,3064.61,8.8,False,15.51,1727.81,246.5,38.7,19.0,25.9,4.51,Risque élevé,6.1,False,False,True,False
2021-08-01,2021,8,3,2021-08,Nettoyant HP vert dilution forte,nettoyant HP,biosourcé,IndustraNett,396.1,15.32,6068.25,6.6,True,0.46,182.21,851.9,93.5,353.8,79.0,8.8,Faible risque,1.741,True,False,True,True
2021-08-01,2021,8,3,2021-08,Désinfectant quaternaire QAC-50,désinfectant,ammonium quaternaire,ChemPro,6.4,34.1,218.24,8.3,True,10.83,69.31,189.7,47.0,7.0,76.1,4.91,Risque élevé,6.945,False,False,True,False
2021-08-01,2021,8,3,2021-08,Nettoyant acide biosourcé,détartrant,biosourcé,ChemPro,235.2,46.02,10823.9,8.2,True,0.57,134.06,1013.5,84.8,368.5,54.5,8.38,Faible risque,5.492,True,True,True,True
2021-08-01,2021,8,3,2021-08,Nettoyant haute pression concentré,nettoyant HP,alcalin,IndustraNett,398.7,4.54,1810.1,13.5,False,9.37,3735.82,339.9,37.1,84.4,18.0,3.49,Risque élevé,1.301,False,False,True,False
2021-09-01,2021,9,3,2021-09,Cire sol industrielle,entretien sol,solvant,EcoClean,241.7,28.64,6922.29,6.9,True,106.92,25842.56,392.5,25.5,11.1,18.0,3.38,Risque élevé,8.473,False,False,True,False
2021-09-01,2021,9,3,2021-09,Dégraissant biosourcé CitraClean,dégraissant,biosourcé,VerteChimie,264.5,40.15,10619.68,6.9,True,0.39,103.16,1006.1,92.6,349.3,45.3,8.84,Faible risque,4.542,True,False,True,False
2021-09-01,2021,9,3,2021-09,Cire sol industrielle,entretien sol,solvant,ChemPro,108.1,26.8,2897.08,10.0,False,134.26,14513.51,439.7,52.9,9.5,2.9,2.93,Risque élevé,9.147,False,False,False,False
2021-09-01,2021,9,3,2021-09,Nettoyant inox alimentaire,nettoyant inox,acide,ChemPro,336.3,42.66,14346.56,3.6,False,7.25,2438.18,137.2,54.4,90.7,68.9,5.03,Risque modéré,8.481,False,False,True,False
2021-09-01,2021,9,3,2021-09,Dégraissant biosourcé CitraClean,dégraissant,biosourcé,EcoClean,35.9,51.4,1845.26,7.2,True,0.64,22.98,765.0,97.6,567.2,63.9,9.86,Faible risque,5.213,True,True,True,False
2021-09-01,2021,9,3,2021-09,Nettoyant inox alimentaire,nettoyant inox,acide,ProHygiène,368.8,16.55,6103.64,2.7,False,8.53,3145.86,107.1,51.5,97.2,5.4,4.69,Risque élevé,3.529,False,False,True,False
2021-10-01,2021,10,4,2021-10,Nettoyant HP vert dilution forte,nettoyant HP,biosourcé,IndustraNett,99.2,55.86,5541.31,8.1,True,0.61,60.51,678.6,88.0,404.0,20.2,8.72,Faible risque,6.406,True,True,True,True
2021-10-01,2021,10,4,2021-10,Nettoyant acide biosourcé,détartrant,biosourcé,VerteChimie,433.0,41.94,18160.02,8.2,True,0.31,134.23,965.3,79.8,233.4,51.1,7.42,Risque modéré,5.652,True,True,True,False
2021-10-01,2021,10,4,2021-10,Cire sol industrielle,entretien sol,solvant,ChemPro,251.5,42.44,10673.66,5.3,False,76.66,19279.99,450.1,37.4,8.2,50.9,3.63,Risque élevé,11.691,False,False,False,False
2021-10-01,2021,10,4,2021-10,Désodorisant enzymatique,désodorisant,enzymatique,EcoClean,57.8,53.86,3113.11,7.6,True,0.4,23.12,519.2,95.2,385.1,14.6,8.98,Faible risque,5.998,True,True,True,False
2021-10-01,2021,10,4,2021-10,Décapant sol industriel,décapant,solvant,VerteChimie,83.8,37.64,3154.23,5.6,False,131.2,10994.56,385.5,61.3,9.5,64.0,3.72,Risque élevé,10.118,False,False,True,False
2021-10-01,2021,10,4,2021-10,Désodorisant industriel masquant,désodorisant,synthétique,ChemPro,343.1,41.08,14094.55,5.9,False,8.71,2988.4,386.1,48.5,91.4,20.4,5.55,Risque modéré,7.402,False,False,True,False
2021-10-01,2021,10,4,2021-10,Mousse nettoyante toutes surfaces,nettoyant multi,tensioactif,VerteChimie,195.8,39.76,7785.01,9.8,False,6.43,1258.99,395.4,34.7,69.1,30.7,4.51,Risque élevé,8.816,False,False,True,False
2021-10-01,2021,10,4,2021-10,Désinfectant quaternaire QAC-50,désinfectant,ammonium quaternaire,VerteChimie,94.8,32.06,3039.29,8.0,True,11.92,1130.02,223.6,38.6,27.5,32.5,4.86,Risque élevé,6.597,False,False,True,False
2021-10-01,2021,10,4,2021-10,Nettoyant acide biosourcé,détartrant,biosourcé,ProHygiène,375.3,35.35,13266.86,7.4,True,0.49,183.9,747.4,92.0,443.1,14.9,9.29,Faible risque,3.805,True,True,True,False
2021-10-01,2021,10,4,2021-10,Mousse nettoyante toutes surfaces,nettoyant multi,tensioactif,VerteChimie,160.4,38.01,6096.8,5.7,False,8.84,1417.94,237.5,25.9,58.4,40.1,4.61,Risque élevé,8.245,False,False,True,False
2021-10-01,2021,10,4,2021-10,Décapant sol enzymatique,décapant,enzymatique,IndustraNett,296.7,14.52,4308.08,6.6,True,0.57,169.12,887.5,76.1,408.3,9.6,8.6,Faible risque,1.688,True,True,True,True
2021-10-01,2021,10,4,2021-10,Nettoyant inox écologique,nettoyant inox,biosourcé,ChemPro,132.8,45.01,5977.33,8.3,True,0.51,67.73,475.3,87.6,635.4,25.2,9.22,Faible risque,4.882,True,True,True,False
2021-11-01,2021,11,4,2021-11,Cire sol industrielle,entretien sol,solvant,ChemPro,118.3,33.65,3980.79,7.0,True,153.4,18147.22,227.4,48.7,4.3,7.4,3.49,Risque élevé,9.642,False,False,True,False
2021-11-01,2021,11,4,2021-11,Nettoyant inox alimentaire,nettoyant inox,acide,ProHygiène,152.1,22.42,3410.08,1.7,False,9.23,1403.88,128.8,20.6,124.1,20.9,3.61,Risque élevé,6.211,False,False,True,False
2021-11-01,2021,11,4,2021-11,Nettoyant acide biosourcé,détartrant,biosourcé,ChemPro,310.5,41.89,13006.84,7.7,True,0.63,195.62,716.8,96.7,310.2,28.3,8.54,Faible risque,4.905,True,True,True,False
2021-11-01,2021,11,4,2021-11,Nettoyant haute pression concentré,nettoyant HP,alcalin,ProHygiène,24.4,32.11,783.48,10.7,False,8.56,208.86,306.4,58.0,65.1,26.9,4.88,Risque élevé,6.58,False,False,True,False
2021-11-01,2021,11,4,2021-11,Antirouille process,traitement surface,acide,EcoClean,498.1,20.96,10440.18,3.8,False,9.45,4707.04,125.4,31.6,71.1,35.9,4.26,Risque élevé,4.92,False,False,True,False
2021-12-01,2021,12,4,2021-12,Désodorisant industriel masquant,désodorisant,synthétique,ProHygiène,31.9,42.52,1356.39,8.4,True,5.28,168.43,345.4,36.8,64.3,54.8,4.99,Risque élevé,8.521,False,False,True,False
2021-12-01,2021,12,4,2021-12,Décapant sol enzymatique,décapant,enzymatique,EcoClean,222.1,52.13,11578.07,7.9,True,0.59,131.04,863.0,83.1,413.7,64.5,8.69,Faible risque,5.999,True,True,True,True
2021-12-01,2021,12,4,2021-12,Nettoyant acide biosourcé,détartrant,biosourcé,ProHygiène,374.2,60.86,22773.81,7.5,True,0.57,213.29,725.6,80.5,387.3,44.4,8.58,Faible risque,7.093,True,True,True,True
2021-12-01,2021,12,4,2021-12,Désodorisant industriel masquant,désodorisant,synthétique,ChemPro,159.5,26.68,4255.46,7.4,True,8.49,1354.16,345.5,60.9,92.9,29.4,6.15,Risque modéré,4.338,False,False,True,False
2021-12-01,2021,12,4,2021-12,Nettoyant acide détartrant,détartrant,acide,EcoClean,213.9,38.12,8153.87,3.1,False,7.96,1702.64,98.2,45.8,100.3,40.6,4.67,Risque élevé,8.163,False,False,True,False
2021-12-01,2021,12,4,2021-12,Dégraissant alcalin HD,dégraissant,alcalin,ProHygiène,51.6,34.71,1791.04,11.8,False,11.32,584.11,498.6,36.0,104.8,21.3,4.08,Risque élevé,8.507,False,False,True,False
2021-12-01,2021,12,4,2021-12,Décapant sol enzymatique,décapant,enzymatique,IndustraNett,367.5,60.74,22321.95,7.9,True,0.37,135.98,515.1,86.0,518.3,48.7,9.3,Faible risque,6.531,True,True,True,True
2021-12-01,2021,12,4,2021-12,Antirouille process,traitement surface,acide,ChemPro,317.2,43.37,13756.96,3.6,False,9.01,2857.97,155.2,50.9,110.5,27.3,5.02,Risque modéré,8.639,False,False,True,False
2022-01-01,2022,1,1,2022-01,Dégraissant alcalin HD,dégraissant,alcalin,EcoClean,496.3,27.03,13414.99,12.8,False,7.51,3727.21,255.9,62.8,41.5,73.6,4.25,Risque élevé,6.36,False,False,True,False
2022-01-01,2022,1,1,2022-01,Nettoyant inox alimentaire,nettoyant inox,acide,EcoClean,359.0,23.5,8436.5,2.4,False,7.37,2645.83,143.0,48.5,19.6,50.2,4.06,Risque élevé,5.788,False,False,True,False
2022-01-01,2022,1,1,2022-01,Décapant sol enzymatique,décapant,enzymatique,EcoClean,365.8,17.79,6507.58,7.6,True,0.32,117.06,675.4,92.2,362.2,47.4,8.75,Faible risque,2.033,True,True,True,False
2022-01-01,2022,1,1,2022-01,Nettoyant inox alimentaire,nettoyant inox,acide,EcoClean,346.7,11.27,3907.31,1.7,False,6.12,2121.8,100.4,40.7,66.6,11.4,3.91,Risque élevé,2.882,False,False,True,False
